pos,neg
贴金,欠钱
贴心,欠缺
挺过来,欠债
挺进,枪打出头鸟
挺直腰杆,强弩之末
统领,强制
统筹,墙倒众人推
统一,墙角
头啖汤,窃密
突变,窃取
突出,侵犯
突飞猛进,侵害
突破,侵权
突围,侵蚀
推陈出新,侵吞
推崇,侵占
推动,青黄不接
推荐,倾销
推广,清仓
推进,清偿
推升,清理
蜕变,清盘
托市,清算
脱困,曲解
脱离,曲折
脱胎换骨,驱逐
脱颖而出,趋薄
拓宽,趋紧
拓展,取消资格
挖潜增效,圈钱
挖掘,全盘皆绿
弯道超车,缺乏
完备,缺口
完美,缺漏
完善,缺失
完整,缺位
万灵丹,缺陷
万象更新,让位
王道,惹火烧身
王者,惹众怒
旺季,人浮于事
旺销,人祸
旺盛,人心惶惶
威信,任重道远
未雨绸缪,日暮
位列,冗杂
闻名,如履薄冰
稳步,入不敷出
稳定,软肋
稳固,软弱
稳健,锐减
稳居,弱化
稳妥,弱市
稳中求变,弱势
稳扎稳打,散漫
稳中求进,丧失
稳中有进,骚乱
稳中有升,骚扰
稳中有为,杀跌
稳坐,姗姗来迟
问心无愧,擅自
无愧,伤
无虞,伤及自身
无与伦比,上当
五连冠,奢侈
物超所值,舍本逐末
务实,涉案
物价趋稳,涉事
物美价廉,涉嫌
吸金,深冬
吸纳,深陷
吸引,甚微
稀缺,生不逢时
喜爱,生死劫
喜报,生硬
喜从天降,盛极而衰
喜剧,剩宴
喜上眉梢,失败
喜人,失策
细腻周到,失宠
细致,失调
先导性,失度
先锋,失公允
先河,失和
先机,失衡
先进,失控
先行,失利
先抑后扬,失灵
先浴火后重生,失落
咸鱼翻身,失去
先知先觉,失色
显赫,失声
显露锋芒,失实
显眼,失守
显著,失望
现代化,失误
相得益彰,失效
香饽饽,失意
翔实,失之交臂
享受,失职
享有,施压
响应,时运不济
向好,始作俑者
向暖,式微
向上,事倍功半
向心力,事故
像样,势衰
削减成本,收跌
削减库存,收紧
削减支出,收绿
效率高,收买
效益,收入
笑傲,收缩
协同,收窄
笑逐颜开,首当其冲
协同效应,受挫
卸下包袱,受害
心无旁骛,受贿
欣慰,受尽苦头
欣喜,受累
新常态,受损
新宠,受限
新飞跃,受压
新高,受制
新贵,受阻
新技术,疏忽
新纪元,疏于
新进展,束缚
新晋,衰竭
新局面,衰落
新跨越,衰弱
新里程,衰退
新历史,甩卖
新能效,双规
新起点,双降
新水平,双开
新台阶,双输
新鲜感,水平低
新鲜,水深火热
新兴,私利
新星,死胡同
新形象,四面楚歌
新颖,肆虐
新增,松散
信赖,松懈
信心,诉讼
兴奋点,算不得
兴利去弊,随波逐流
兴起,损害
兴旺,损耗
兴盛,损耗高
幸福,损耗上升
性价比高,损耗增加
雄风,损失
雄厚,缩减
雄踞,缩水
雄心勃勃,缩小
需求旺盛,缩窄
选贤任能,所剩无几
炫目,索赔
靴子落地,塌陷
循序渐进,踏空
雪中送炭,胎死腹中
迅捷有力,太差
延伸,贪婪
严谨,贪污
严密,摊薄
演进,瘫痪
扬长避短,昙花一现
扬帆起航,探底
扬升,躺着也中枪
阳刚之气,躺着中枪
阳光,烫手山芋
养眼,掏空
阳线,逃离
摇钱树,逃税
耀眼,淘汰
一帆风顺,套牢
一飞冲天,套现
一举,天花板
一流,天灾
一马当先,挑战
一炮打响,跳水
一炮而红,铁公鸡
一骑绝尘,停摆
一席之地,停产
一统江山,停顿
一线,停工
一枝独秀,停机
一专多能,停售
屹立不倒,停业
异军突起,停滞
益处,铤而走险
意义,通缉
溢价,通缩
因地制宜,通胀
引爆,同质化
引擎,偷工减料
引领,偷税
引人注目,投机
引人注意,投诉
应变,推迟
应付自如,推后
英明威武,推脱
迎来,颓靡
迎难而上,颓势
盈利,退潮
盈余,退出
赢得,退市
赢利,退意
赢家,吞噬
赢者,拖累
影响力,拖欠
影响深远,脱节
勇往直前,脱离
用心,唾弃
优点,瓦解
优厚,歪风
优化,歪曲
优惠,外泄
优良,弯路
优势,玩忽职守
优胜劣汰,玩业绩
优先,顽疾
优秀,旺季不旺
优异,危害
优于,危机
优越,危及
优质,危局
由亏变盈,危途
由熊转牛,危险
友好,威逼
有保障,威胁
有底气,微薄
有的放矢,微词
有风骨,微乎其微
有价值,微利
有见地,微弱
有进有退,为时过早
有力,为所欲为
有利,围剿
有收有放,违背
有所缓和,违法
有所斩获,违规
有条不紊,违纪
有希望,违禁
有望,违约
有效,唯恐
有效率,维艰
有信心,伪利好
有序,伪劣
有益,伪造
有增无减,伪装
有质量,萎靡
有助,萎缩
有作为,未偿还
又添助力,未见
浴火重生,未明
与时俱进,未能
预喜,未有
预盈,窝案
预增,窝里斗
誉为,污染
原创,污水
原料降价,无常
圆满,无底洞
跃居,无法
跃上,无法表示意见
跃升,无功而返
再创,无故缺席
韵味,无果而终
再获,无疾而终
再接再厉,无计可施
再添,无济于事
再续,无可奈何
赞美,无理取闹
赞赏,无力
赞叹,无利可图
赞誉,无米下炊
造就,无奈
造诣,无能为力
增补,无人问津
择机,无妄之灾
增长,无望
增持,无效
增多,无序
增发,无照经营
增幅,五证不全
增光,舞弊
增厚,物价攀升
增加,物价上涨
增进,误导
增量,误区
增色,误入
增强,雾霾
增势,稀释利润
增收,洗大澡
增速,洗牌
增添,洗钱
增效,洗澡
增值,喜新厌旧
扎扎实实,瞎忙
摘帽,瑕疵
摘入囊中,下挫
摘星,下调
崭露头角,下跌
斩获,下风
崭新,下岗
占据,下滑
占领,下降
站稳脚跟,下坡路
彰显,下线
涨幅,下行
涨势,吓死胆小的
涨停,撑死胆大的
掌控,先扬后抑
掌握,闲置
真抓实干,嫌弃
招牌,嫌疑
振奋,限贷
振兴,限购
征程,限售
整顿,限制
整合,陷阱
整治,陷入
正本清源,相差甚远
正当其时,向下
正当时,削价
正果,削减
正能量,削弱
正面,消除
正现金流,消耗
正相关,消极
正向,消减
政策补贴,消失
政策红包,消亡
政策红利,萧条
政府补贴,效率低
支撑,效益低
支出减少,胁迫
支柱,泄露
知名,泄密
知己知彼,心灰意冷
值得,心有余悸
止跌反弹,新低
止跌回升,信贷
止跌回稳,信心不足
止跌企稳,刑事
咫尺之遥,行贿
指明,形式主义
指日可待,形同虚设
制高点,性价比低
制胜,凶险
致富,熊
质优,休眠
智慧,虚报
中标,虚高
中国特色,虚构
中流砥柱,虚火上升
中心地位,虚假
忠诚,虚开
众人拾柴火焰高,虚列
重点,虚增
重获,续亏
重奖,蓄意
重现,漩涡
重生,雪崩
重振,雪上加霜
重整,雪灾
周到,血本无归
周密,血淋淋
周转快,逊色
主导,压低
主动,压价
主流,压力
主旋律,压缩
主轴,压抑
助推器,延迟
助力,延后
助益,延缓
注入,延期
著名,延误
抓住,严冬
专长,严峻
专利,严厉
专业化,严重
专属,言之过早
转负为正,偃旗息鼓
转好,殃及
转危为安,夭折
转暖,妖股
转型升级,腰斩
转正,摇摇欲坠
转中求快,夜不能寐
赚大钱,一鼻子灰
壮大,一波三折
壮观,一错再错
追捧,一地鸡毛
追涨,一哄而上
准确,一劫
卓绝,一蹶不振
卓越,一落千丈
卓有,一去不复返
资金充裕,一损俱损
滋润,一塌糊涂
自成一色,一潭死水
自给自足,一味
自力更生,一厢情愿
自律,依赖
自强不息,贻误
自主,遗憾
走出低谷,遗留
走出困境,遗漏
走牛,遗症
走高,以次充好
走强,以偏概全
走俏,异常
最高,异动
最好,异乎寻常
最佳,异议
最具价值,抑制
最前端,意外
最权威,臆测
最受,阴跌
最喜爱,阴霾
最优,阴险
最新,阴线
尊贵,阴影
尊敬,引咎
坐享,饮鸩止渴
做大,隐患
做精,隐瞒
做精做细,隐忧
做强,盈利减少
做优,盈利下降
,盈余管理
,臃肿
,用脚投票
,优势缩小
,忧虑
,忧心
,由牛转熊
,由盈变亏
,有待
,有毒
,有法不依
,有害
,有价无市
,有减无增
,有苦难言
,有名不实
,有失公允
,有失偏颇
,有恃无恐
,有限
,有心无力
,囿于常规
,诱多
,迂腐
,于事无补
,余波未平
,余震
,鱼龙混杂
,鱼目混珠
,逾期
,舆论压力
,预减
,预警
,预亏
,欲哭无泪
,遇寒风
,遇冷
,遇阻
,愈演愈烈
,冤冤相报
,原告
,原料涨价
,怨声载道
,怨天尤人
,陨落
,砸盘
,灾害
,灾难
,再陷
,在劫难逃
,暂停上市
,遭到
,遭受
,遭遇
,糟糕
,造假
,噪音
,躁动
,增大难度
,增加费用
,增加摩擦
,增加难度
,增收不增利
,诈骗
,摘牌
,债务
,斩仓
,占用
,占有
,战战兢兢
,战争
,涨不动
,障碍
,招致
,昭然若揭
,召回
,遮羞布
,折戟
,折价
,折损
,折翼
,真空期
,阵痛
,震荡
,争议
,挣扎
,蒸发
,整顿
,整改
,之痛
,支出上升
,支出增加
,纸老虎
,指控
,指责
,制裁
,制约
,质低
,质量次
,质量低
,质押
,质疑
,致癌
,致命
,致歉
,滞后
,滞纳金
,滞销
,滞涨
,中断
,中枪
,终止
,众矢之的
,重创
,重挫
,重蹈覆辙
,重复建设
,重新洗牌
,重灾区
,重债
,周转慢
,骤减
,注水
,注销
,转差
,转冷
,壮士断腕
,追悔莫及
,追究
,坠落
,捉襟见肘
,资不抵债
,资源不足
,滋生
,自毁
,自身难保
,自食苦果
,自我损耗
,自作自受
,恣意妄为
,纵容
,走低
,走个形式
,走过场
,走弱
,走私
,走下坡
,走形式
,租金上涨
,阻碍
,阻挡
,阻力
,罪状
,昨日风光
,作废
,坐井观天
,坐牢
,坐享其成
